name,geo,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,"World bank, 4 income groups 2017",adjective,adjective_plural
Afghanistan,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Afghan,Afghans
Albania,alb,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Albanian,Albanians
Algeria,dza,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,Algerian,Algerians
Andorra,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/7/1993,Europe & Central Asia,High income,Andorran,Andorrans
Angola,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income,Angolan,Angolans
Antigua and Barbuda,atg,americas,america_north,america,g77,17.05,-61.8,11/11/1981,Latin America & Caribbean,High income,"Antiguan, Barbudan","Antiguans, Barbudans"
Argentina,arg,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,"Argentine, Argentinian","Argentines, Argentinians"
Armenia,arm,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Armenian,Armenians
Australia,aus,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income,Australian,Australians
Austria,aut,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income,Austrian,Austrians
Azerbaijan,aze,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income,"Azerbaijani, Azeri","Azerbaijanis, Azeris"
Bahamas,bhs,americas,america_north,america,g77,25.04082,-77.37122,18/8/1973,Latin America & Caribbean,High income,Bahamian,Bahamians
Bahrain,bhr,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/9/1971,Middle East & North Africa,High income,Bahraini,Bahrainis
Bangladesh,bgd,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income,Bangladeshi,Bangladeshis
Barbados,brb,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income,Barbadian,Barbadians
Belarus,blr,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income,Belarusian,Belarusians
Belgium,bel,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income,Belgian,Belgians
Belize,blz,americas,america_north,america,g77,17.49952,-88.19756,25/9/1981,Latin America & Caribbean,Upper middle income,Belizean,Belizeans
